MAIN.PRIVATE_GAME	非公開マルチプレイヤー
POPUP.DELETE_PRESET.OPT1	はい！ :')
POPUP.DELETE_PRESET.OPT2	いいえ...
SETTINGS.CONTROLS.ANGRY	怒る
SETTINGS.CONTROLS.SAD	悲しい
SETTINGS.CONTROLS.SUSPICIOUS	疑う
SETTINGS.CONTROLS.EYES_CLOSED	目を閉じる
SETTINGS.CONTROLS.SCARED	怖がる
SETTINGS.CONTROLS.HAPPY	嬉しい
POPUP.COSMETICS_COLOR_ALL.HEADER	色を変更
POPUP.COSMETICS_COLOR_ALL.BODY	全ての体パーツとコズメティックの色を上書きします。\n\nこの操作は取り消せません！
POPUP.COSMETICS_COLOR_ALL.OPT1	了解！ :')
POPUP.COSMETICS_COLOR_ALL.OPT2	やめます...
SETTINGS.AUDIO.SFX_VOLUME	効果音音量
SETTINGS.AUDIO.TEXT_TO_SPEECH_VOLUME	テキストチャット音量
SETTINGS.CAMERA_ANIMATION.OFF	オフ
SETTINGS.CAMERA_ANIMATION.VERY_LOW	最低
SETTINGS.CAMERA_ANIMATION.LOW	低
SETTINGS.CAMERA_ANIMATION.MEDIUM	中
SETTINGS.CAMERA_ANIMATION.DEFAULT	デフォルト
SETTINGS.RICH_PRESENCE.OFF	オフ
SETTINGS.RICH_PRESENCE.MINIMAL	最低限
SETTINGS.RICH_PRESENCE.FULL	全て
SETTINGS.WINDOW_MODE.WINDOWED	ウィンドウモード
SETTINGS.WINDOW_MODE.FULLSCREEN	フルスクリーン
SETTINGS.MAX_FPS.UNLIMITED	無制限
SETTINGS.LIGHT_DISTANCE.VERY_LOW	最低
SETTINGS.LIGHT_DISTANCE.LOW	低
SETTINGS.LIGHT_DISTANCE.MEDIUM	中
SETTINGS.LIGHT_DISTANCE.HIGH	高
SETTINGS.LIGHT_DISTANCE.VERY_HIGH	最高
SETTINGS.SHADOW_QUALITY.VERY_LOW	最低
SETTINGS.SHADOW_QUALITY.LOW	低
SETTINGS.SHADOW_QUALITY.MEDIUM	中
SETTINGS.SHADOW_QUALITY.HIGH	高
SETTINGS.SHADOW_QUALITY.VERY_HIGH	最高
SETTINGS.SHADOW_DISTANCE.VERY_LOW	最低
SETTINGS.SHADOW_DISTANCE.LOW	低
SETTINGS.SHADOW_DISTANCE.MEDIUM	中
SETTINGS.SHADOW_DISTANCE.HIGH	高
SETTINGS.SHADOW_DISTANCE.VERY_HIGH	最高
SETTINGS.RENDER_SIZE.SMALL	小
SETTINGS.RENDER_SIZE.MEDIUM	中
SETTINGS.RENDER_SIZE.DEFAULT	デフォルト
SETTINGS.MIC_DEVICE.NONE	無し
POPUP.RESET_GAMEPLAY_SETTINGS.HEADER	ゲームプレイ設定をリセット
POPUP.RESET_GAMEPLAY_SETTINGS.BODY	ゲームプレイの設定をデフォルトにリセットしますか？
POPUP.RESET_GAMEPLAY_SETTINGS.OPT1	はい！
POPUP.RESET_GAMEPLAY_SETTINGS.OPT2	いいえ
SETTINGS.GRAPHICS.HEADER	グラフィック
POPUP.RESET_GRAPHICS_SETTINGS.HEADER	グラフィック設定をリセット
POPUP.RESET_GRAPHICS_SETTINGS.BODY	グラフィックの設定をデフォルトにリセットしますか？
POPUP.RESET_GRAPHICS_SETTINGS.OPT1	はい！
POPUP.RESET_GRAPHICS_SETTINGS.OPT2	いいえ
POPUP.RESET_AUDIO_SETTINGS.HEADER	音声設定をリセット
POPUP.RESET_AUDIO_SETTINGS.BODY	音声の設定をデフォルトにリセットしますか？
POPUP.RESET_AUDIO_SETTINGS.OPT1	はい！
POPUP.RESET_AUDIO_SETTINGS.OPT2	いいえ
POPUP.RESET_CONTROLS_SETTINGS.HEADER	操作設定をリセット
POPUP.RESET_CONTROLS_SETTINGS.BODY	操作の設定をデフォルトにリセットしますか？
POPUP.RESET_CONTROLS_SETTINGS.OPT1	はい！
POPUP.RESET_CONTROLS_SETTINGS.OPT2	いいえ
COSMETICS.TYPE.FOOT_RIGHT	右脚 服
COSMETICS.TYPE.FOOT_LEFT	左脚 服
COSMETICS.TYPE.ARM_RIGHT_OVERLAY	右腕 表面
COSMETICS.TYPE.ARM_LEFT_OVERLAY	左腕 表面
COSMETICS.TYPE.LEG_RIGHT_OVERLAY	右脚 表面
COSMETICS.TYPE.LEG_LEFT_OVERLAY	左脚 表面
PASSWORD.HEADER	パスワード
PASSWORD.SKIP	スキップ
LOADING.LOADING	ロード中
LOADING.STUCK_PROMPT_TOP_TEXT	ロードが終わらなくなりましたか？
LOADING.STUCK_PROMPT_BOTTOM_TEXT	[menu]を押すとメインメニューに戻ります
LOBBY.HEADER	オンラインロビー
LOBBY.CHAT_PROMPT	[chat]でチャット
LOBBY.START_GAME	ゲーム開始
LOBBY.INVITE	招待
LOBBY.SETTINGS	設定
LOBBY.CUSTOMIZE	見た目を変更
LOBBY.LEAVE	退出
POPUP.START_GAME.HEADER	ゲーム開始
POPUP.START_GAME.BODY	全員準備できましたか？\n\nゲームが開始されたら\nプレイヤーはあとから参加できません。
POPUP.START_GAME.OPT1	はい！
POPUP.START_GAME.OPT2	いやちょっと待って！
POPUP.LEAVE_LOBBY.HEADER	ロビーを退出
POPUP.LEAVE_LOBBY.BODY	本当によろしいですか？
POPUP.LEAVE_LOBBY.OPT1	はい
POPUP.LEAVE_LOBBY.OPT2	いいえ
POPUP.NEW_GAME.HEADER	新規ゲーム
POPUP.NEW_GAME.BODY	新規ゲームを\n開始しますか？
POPUP.NEW_GAME.OPT1	はい！
POPUP.NEW_GAME.OPT2	いいえ
PASSWORD.CONFIRM	決定
LOBBY.PLAYER_JOINING	プレイヤーが参加中...
COSMETICS.TYPE.HEAD_BOTTOM	顔 下部
POPUP.COSMETICS_RESET_ALL.HEADER	全て外す
POPUP.COSMETICS_RESET_ALL.BODY	本当に体パーツとコズメティックを\n全て外してもよろしいですか？\n\nこの操作は取り消せません！
POPUP.COSMETICS_RESET_ALL.OPT1	はい！ :')
POPUP.COSMETICS_RESET_ALL.OPT2	いいえ...
POPUP.COSMETICS_RESET_BODY.HEADER	全て外す
POPUP.COSMETICS_RESET_BODY.BODY	本当に全ての体パーツを外しても\nよろしいですか？\n\nこの操作は取り消せません！
POPUP.COSMETICS_RESET_BODY.OPT1	はい！ :')
POPUP.COSMETICS_RESET_BODY.OPT2	いいえ...
POPUP.COSMETICS_RESET_COSMETICS.HEADER	全て外す
POPUP.COSMETICS_RESET_COSMETICS.BODY	本当に全てのコズメティックを\n外してもよろしいですか？\n\nこの操作は取り消せません！
POPUP.COSMETICS_RESET_COSMETICS.OPT1	はい！ :')
POPUP.COSMETICS_RESET_COSMETICS.OPT2	いいえ...
POPUP.COSMETICS_RANDOMIZE_ALL.HEADER	ランダム化
POPUP.COSMETICS_RANDOMIZE_ALL.BODY	本当に体パーツとコズメティックを\n全てランダム化してもよろしいですか？\n\nこの操作は取り消せません！
POPUP.COSMETICS_RANDOMIZE_ALL.OPT1	はい！ :')
POPUP.COSMETICS_RANDOMIZE_ALL.OPT2	いいえ...
POPUP.COSMETICS_RANDOMIZE_BODY.HEADER	ランダム化
POPUP.COSMETICS_RANDOMIZE_BODY.BODY	本当に全ての体パーツを\nランダム化してもよろしいですか？\n\nこの操作は取り消せません！
POPUP.COSMETICS_RANDOMIZE_BODY.OPT1	はい！ :')
POPUP.COSMETICS_RANDOMIZE_BODY.OPT2	いいえ...
POPUP.COSMETICS_RANDOMIZE_COSMETICS.HEADER	ランダム化
POPUP.COSMETICS_RANDOMIZE_COSMETICS.BODY	本当に全てのコズメティックを\nランダム化してもよろしいですか？\n\nこの操作は取り消せません！
POPUP.COSMETICS_RANDOMIZE_COSMETICS.OPT1	はい！ :')
POPUP.COSMETICS_RANDOMIZE_COSMETICS.OPT2	いいえ...
POPUP.COSMETICS_COLOR_BODY.HEADER	色を変更
POPUP.COSMETICS_COLOR_BODY.BODY	全ての体パーツの色を\n上書きします。\n\nこの操作は取り消せません！
POPUP.COSMETICS_COLOR_BODY.OPT1	やります！ :')
POPUP.COSMETICS_COLOR_BODY.OPT2	やめておく...
POPUP.COSMETICS_COLOR_COSMETICS.HEADER	色を変更
POPUP.COSMETICS_COLOR_COSMETICS.BODY	全てのコズメティックの色を\n上書きします。\n\nこの操作は取り消せません！
POPUP.COSMETICS_COLOR_COSMETICS.OPT1	やります！ :')
POPUP.COSMETICS_COLOR_COSMETICS.OPT2	やめておく...
COSMETICS.TYPE.FACE_TOP	顔 上部
COSMETICS.TYPE.FACE_BOTTOM	顔 中央
MAIN.CUSTOMIZE	見た目を変更
ESC.HEADER	メニュー
ESC.CONTINUE	メニューを閉じる
ESC.CUSTOMIZE	見た目を変更
ESC.SETTINGS	設定
ESC.SELF_DESTRUCT	自爆
ESC.ACTIVE_MOONS	現在の月相
ESC.MAIN_MENU	メインメニューに戻る
ESC.QUIT_GAME	ゲーム終了
POPUP.MAIN_MENU.OPT2	いいえ
MOONS.HEADER	現在の月相
MOONS.BACK	戻る
MOONS.MOON_1.NAME	三日月
MOONS.MOON_1.ATTRIBUTE_1	トラックでの回復量が35まで下がる。
MOONS.MOON_1.ATTRIBUTE_2	お宝でモンスターを殴っても気絶しにくくなる。
MOONS.MOON_2.NAME	上弦
MOONS.MOON_2.ATTRIBUTE_1	モンスターを掴むとオーバーチャージが発生するようになる。
MOONS.MOON_2.ATTRIBUTE_2	モンスターは穴に落ちても即死せずに大ダメージを受けるだけになる。
MOONS.MOON_2.ATTRIBUTE_3	トラックでの回復量が25まで下がる。
MOONS.MOON_3.NAME	満月
MOONS.MOON_3.ATTRIBUTE_1	オーバーチャージの上昇量が25%増加する。
MOONS.MOON_3.ATTRIBUTE_2	穴に落ちたモンスターが受けるダメージが減少する。
MOONS.MOON_4.NAME	スーパームーン
MOONS.MOON_4.ATTRIBUTE_1	モンスターオーブが壊れた時に爆発するようになる。
MOONS.MOON_4.ATTRIBUTE_2	オーバーチャージの上昇量が50%増加する。
MOONS.MOON_4.ATTRIBUTE_3	穴に落ちたモンスターが受けるダメージが更に減少する。
LOBBY.PING	{ping} ms
REGIONS.PING	{ping} ms
SPLASH.PHOTOSENSITIVITY_WARNING.HEADER	光過敏症についての警告
SPLASH.PHOTOSENSITIVITY_WARNING.SUBHEADER	このゲームには光が点滅する要素が含まれています。
SPLASH.PHOTOSENSITIVITY_WARNING.TEXT	人によっては光の模様や明滅を見ると\n光過敏性発作を起こすことがあります。\nプレイ中に気分が悪くなった場合、\nただちにプレイを中止して医師の診断を受けてください。
LEVEL.NAME.SHOP	サービスステーション
LEVEL.NAME.ARENA	廃棄アリーナ
LEVEL.NAME.ARCTIC	マクジャネック基地
LEVEL.NAME.MANOR	ヘッドマン邸
LEVEL.NAME.MUSEUM	人類の芸術博物館
LEVEL.NAME.WIZARD	スウィフトブルーム学園
LOADING.LEVEL.SHOP	ショップ
LOADING.LEVEL.LEVEL_NUMBER	レベル {number}
LOADING.LEVEL.GAME_OVER	ゲームオーバー
SAVES.SAVE_INFO.PLAYER_SOLO	独りでやってるよ！
POPUP.SAVE_LIMIT.HEADER	セーブファイルの最大数に達しました
POPUP.SAVE_LIMIT.BODY	最大{limit}個までしかセーブファイルを作れません。/n新しく作りたい場合は古いものを削除してください。
POPUP.SAVE_LIMIT.BUTTON	OK
POPUP.KICKED.HEADER	追い出されました
POPUP.KICKED.BODY	ホストプレイヤーがあなたを追い出しました。
POPUP.KICKED.BUTTON	わかったよチェッ
POPUP.DISCONNECTED.HEADER	切断されました
POPUP.DISCONNECTED.STUCK_LOADING	読み込みが完了できませんでした
POPUP.DISCONNECTED.HOST_DISCONNECTED	ホストはオフラインです
POPUP.DISCONNECTED.BUTTON	わかったよチェッ
POPUP.VERSION_MISMATCH.HEADER	バージョンが違います
POPUP.VERSION_MISMATCH.BODY	違うバージョンのロビーです:\n{version}
POPUP.VERSION_MISMATCH.BUTTON	わかったよチェッ
POPUP.LOBBY_CLOSED.HEADER	ロビーが終了しました
POPUP.LOBBY_CLOSED.BODY	このロビーは終了しました。
POPUP.LOBBY_CLOSED.BUTTON	わかったよチェッ
POPUP.DISCONNECTED.CAUSE_PREFIX	理由:
POPUP.DISCONNECTED.BANNED_LOBBY	このロビーに出入り禁止になりました。
